? hatsune_miku 93k	
? hakurei_reimu 75k	
? kirisame_marisa 68k	
? remilia_scarlet 50k	
? flandre_scarlet 49k	
? izayoi_sakuya 44k	
? admiral_(kancolle) 37k	
? artoria_pendragon_(fate) 36k	
? kochiya_sanae 34k	
? alice_margatroid 34k	
? konpaku_youmu 33k	
? patchouli_knowledge 33k	
? cirno 33k	
? komeiji_koishi 32k	
? yakumo_yukari 31k	
? shameimaru_aya 27k	
? reisen_udongein_inaba 26k	
? fujiwara_no_mokou 26k	
? komeiji_satori 25k	
? akemi_homura 24k
? hong_meiling 24k	
? kaname_madoka 23k	
? saigyouji_yuyuko 23k	
? inubashiri_momiji 21k	
? kaga_(kancolle) 21k	
? yakumo_ran 19k	
? kagamine_rin 19k	
? konpaku_youmu_(ghost) 18k	
? kaenbyou_rin 18k	
? moriya_suwako 18k	
? rumia 18k	
? shimakaze_(kancolle) 18k	
? kazami_yuuka 17k	
? miki_sayaka 17k	
? reiuji_utsuho 17k	
? chen 17k	
? ganyu_(genshin_impact) 17k	
? saber_(fate) 16k	
? hibiki_(kancolle) 16k	
? mash_kyrielight 16k
? tatara_kogasa 16k	
? kawashiro_nitori 16k	
? kamishirasawa_keine 16k	
? shigure_(kancolle) 15k	
? hinanawi_tenshi 15k	
? sakura_kyoko 14k	
? warrior_of_light_(ff14) 14k	
? tomoe_mami 14k	
? houraisan_kaguya 14k	
? mystia_lorelei 14k	
? koakuma 14k	
? souryuu_asuka_langley 13k	
? inaba_tewi 13k	
? ibuki_suika 13k	
? kongou_(kancolle) 13k	
? sensei_(blue_archive) 13k	
? nazrin 13k	
? inazuma_(kancolle) 12k	
? link 12k	
? raiden_shogun 12k
? hijiri_byakuren 12k	
? kagamine_len 12k	
? lumine_(genshin_impact) 12k	
? akagi_(kancolle) 12k	
? tamamo_(fate) 12k	
? houshou_marine 12k	
? houjuu_nue 12k	
? fujimaru_ritsuka_(male) 11k	
? gawr_gura 11k	
? fujimaru_ritsuka_(female) 11k	
? tenryuu_(kancolle) 11k	
? yasaka_kanako 11k	
? yagokoro_eirin 11k	
? yuudachi_(kancolle) 11k	
? jeanne_d'arc_alter_(fate) 11k	
? megurine_luka 11k	
? mizuhashi_parsee 11k	
? fubuki_(kancolle) 11k	
? ikazuchi_(kancolle) 10k	
? abigail_williams_(fate) 10k
? pikachu 10k	
? hu_tao_(genshin_impact) 10k	
? inkling_player_character 10k	
? akatsuki_(kancolle) 10k	
? tifa_lockhart 10k	
? zuikaku_(kancolle) 10k	
? akiyama_mio 10k	
? toyosatomimi_no_miko 9.9k	
? hamakaze_(kancolle) 9.8k	
? princess_zelda 9.8k	
? kagiyama_hina 9.7k	
? suzumiya_haruhi 9.7k	
? haruna_(kancolle) 9.6k	
? nero_claudius_(fate) 9.6k	
? nagato_(kancolle) 9.5k	
? asuna_(blue_archive) 9.5k	
? morichika_rinnosuke 9.5k	
? hoshiguma_yuugi 9.3k	
? yuuka_(blue_archive) 9.3k	
? fate_testarossa 9.2k
? kashima_(kancolle) 9.2k	
? shigure_kai_ni_(kancolle) 9.2k	
? gotoh_hitori 9.2k	
? shirakami_fubuki 9.1k	
? 2b_(nier:automata) 9.1k	
? nishizumi_miho 9.1k	
? daiyousei 9.0k	
? tohsaka_rin 9.0k	
? mononobe_no_futo 8.9k	
? wriggle_nightbug 8.9k	
? inkling_girl 8.9k	
? shanghai_doll 8.9k	
? nakano_azusa 8.8k	
? rem_(re:zero) 8.8k	
? usami_renko 8.8k	
? shiki_eiki 8.8k	
? nagato_yuki 8.7k	
? misaka_mikoto 8.7k	
? yae_miko 8.7k	
? onozuka_komachi 8.6k
? suzuya_(kancolle) 8.5k	
? maribel_hearn 8.5k	
? illyasviel_von_einzbern 8.4k	
? ryuujou_(kancolle) 8.4k	
? zhongli_(genshin_impact) 8.3k	
? hirasawa_yui 8.3k	
? kyubey 8.3k	
? scathach_(fate) 8.3k	
? imaizumi_kagerou 8.2k	
? producer_(idolmaster) 8.2k	
? yuudachi_kai_ni_(kancolle) 8.2k	
? ayanami_rei 8.1k	
? usada_pekora 8.1k	
? manjuu_(azur_lane) 8.0k	
? aether_(genshin_impact) 8.0k	
? hoshimachi_suisei 7.9k	
? houshou_(kancolle) 7.8k	
? toramaru_shou 7.7k	
? takamachi_nanoha 7.7k	
? doodle_sensei_(blue_archive) 7.7k
? shiroko_(blue_archive) 7.7k	
? matoi_ryuuko 7.6k	
? joseph_joestar 7.6k	
? jeanne_d'arc_(fate) 7.6k	
? serval_(kemono_friends) 7.5k	
? yor_briar 7.5k	
? ninomae_ina'nis 7.5k	
? nanami_chiaki 7.4k	
? megumin 7.4k	
? gardevoir 7.4k	
? mori_calliope 7.3k	
? mona_(genshin_impact) 7.2k	
? himekaidou_hatate 7.2k	
? murakumo_(kancolle) 7.2k	
? amatsukaze_(kancolle) 7.2k	
? tainaka_ritsu 7.1k	
? nishikino_maki 7.1k	
? keqing_(genshin_impact) 7.1k	
? jeanne_d'arc_alter_(avenger)_(fate) 7.1k	
? dawn_(pokemon) 7.1k
? hina_(blue_archive) 7.0k	
? kaku_seiga 7.0k	
? kafuu_chino 7.0k	
? ushio_(kancolle) 7.0k	
? tojo_nozomi 7.0k	
? cloud_strife 7.0k	
? sonoda_umi 6.9k	
? okita_souji_(fate) 6.9k	
? yuzuki_yukari 6.9k	
? shibuya_rin 6.9k	
? minato_aqua 6.9k	
? lillie_(pokemon) 6.8k	
? murasa_minamitsu 6.8k	
? yukikaze_(kancolle) 6.8k	
? kujo_jotaro 6.8k	
? trainer_(umamusume) 6.7k	
? atago_(kancolle) 6.7k	
? yamato_(kancolle) 6.7k	
? northern_ocean_princess 6.7k	
? doctor_(arknights) 6.6k
? shoukaku_(kancolle) 6.6k	
? pyra_(xenoblade) 6.6k	
? kaito_(vocaloid) 6.6k	
? yazawa_nico 6.6k	
? ayase_eli 6.5k	
? tamamo_no_mae_(fate/extra) 6.5k	
? kinomoto_sakura 6.5k	
? hata_no_kokoro 6.5k	
? chun-li 6.5k	
? nagae_iku 6.5k	
? nekomata_okayu 6.4k	
? akebono_(kancolle) 6.4k	
? makima_(chainsaw_man) 6.4k	
? amiya_(arknights) 6.4k	
? ibaraki_kasen 6.4k	
? joseph_joestar_(young) 6.4k	
? toki_(blue_archive) 6.4k	
? byleth_(fire_emblem) 6.3k	
? nanashi_mumei 6.2k	
? shuten_douji_(fate) 6.2k
? may_(pokemon) 6.2k	
? kitakami_(kancolle) 6.1k	
? gilgamesh_(fate) 6.1k	
? soga_no_tojiko 6.1k	
? takanashi_kiara 6.1k	
? mika_(blue_archive) 6.1k	
? rosa_(pokemon) 6.0k	
? astolfo_(fate) 6.0k	
? frieren 6.0k	
? kurodani_yamame 6.0k	
? kasodani_kyouko 6.0k	
? tokoyami_towa 6.0k	
? miyako_yoshika 6.0k	
? matou_sakura 6.0k	
? kumoi_ichirin 6.0k	
? furina_(genshin_impact) 6.0k	
? ooyodo_(kancolle) 5.9k	
? venti_(genshin_impact) 5.9k	
? rensouhou-chan 5.9k	
? ouro_kronii 5.9k
? marnie_(pokemon) 5.9k	
? darjeeling_(girls_und_panzer) 5.9k	
? mythra_(xenoblade) 5.9k	
? clownpiece 5.8k	
? hoshii_miki 5.8k	
? kirby 5.8k	
? gawr_gura_(1st_costume) 5.7k	
? hilda_(pokemon) 5.7k	
